age,annual_income,credit_score,monthly_spend,city_tier
25,50000,650,2000,Tier1
30,60000,700,2500,Tier2
35,70000,720,3000,Tier1
40,80000,680,2800,Tier3
45,90000,750,3200,Tier2
28,55000,660,2200,Tier1
32,65000,710,2600,Tier2
38,75000,740,2900,Tier1
42,85000,690,3100,Tier3
48,95000,760,3400,Tier2
26,52000,640,1900,Tier1
33,68000,705,2700,Tier2
36,72000,730,2850,Tier1
44,88000,695,3150,Tier3
50,100000,770,3500,Tier2
27,53000,655,2100,Tier1
31,62000,715,2550,Tier2
37,74000,735,2950,Tier1
43,86000,685,3050,Tier3
47,92000,755,3350,Tier2
29,58000,670,2350,Tier1
34,69000,725,2750,Tier2
39,78000,745,2980,Tier1
41,82000,675,2850,Tier3
46,91000,765,3300,Tier2
24,48000,635,1800,Tier1
52,105000,780,3600,Tier2
55,110000,790,3800,Tier3
22,45000,620,1650,Tier1
58,115000,800,4000,Tier2
