order_id,order_date,amount
ORD001,2024-01-05,1500.00
ORD002,2024-01-12,2200.50
ORD003,2024-01-20,1800.00
ORD004,2024-01-28,2500.00
ORD005,2024-02-03,3100.00
ORD006,2024-02-15,2800.00
ORD007,2024-02-22,2650.00
ORD008,2024-02-28,3200.00
ORD009,2024-03-05,4200.00
ORD010,2024-03-12,3800.00
ORD011,2024-03-19,4500.00
ORD012,2024-03-26,3500.00
ORD013,2024-04-02,4800.00
ORD014,2024-04-10,4200.00
ORD015,2024-04-18,5100.00
ORD016,2024-04-25,4600.00
ORD017,2024-05-03,5500.00
ORD018,2024-05-12,4900.00
ORD019,2024-05-20,5800.00
ORD020,2024-05-28,6200.00
